m,n,result,time(s)
1,1000,23127843459154899464880444632250,.453
2,1000,863387206256083492268834110826,.750
3,1000,62547456711645506352993124262,1
4,1000,6599856771706683389584873067,1
5,1000,902274425835806303094680613,2
6,1000,149930622820117177151947298,4
7,1000,29090068474983244791908626,8
8,1000,6411195581045765295066361,17
9,1000,1573180218511021585792226,34
10,1000,423324093174178902185995,68
15,1000,1687184196051314106166,2198
400,1000,1,.150
